"NDB_No","Shrt_Desc","Water_(g)","Energ_Kcal","Protein_(g)","Lipid_Tot_(g)","Ash_(g)","Carbohydrt_(g)","Fiber_TD_(g)","Sugar_Tot_(g)","Calcium_(mg)","Iron_(mg)","Magnesium_(mg)","Phosphorus_(mg)","Potassium_(mg)","Sodium_(mg)","Zinc_(mg)","Copper_mg)","Manganese_(mg)","Selenium_(µg)","Vit_C_(mg)","Thiamin_(mg)","Riboflavin_(mg)","Niacin_(mg)","Panto_Acid_mg)","Vit_B6_(mg)","Folate_Tot_(µg)","Folic_Acid_(µg)","Food_Folate_(µg)","Folate_DFE_(µg)","Choline_Tot_ (mg)","Vit_B12_(µg)","Vit_A_IU","Vit_A_RAE","Retinol_(µg)","Alpha_Carot_(µg)","Beta_Carot_(µg)","Beta_Crypt_(µg)","Lycopene_(µg)","Lut+Zea_ (µg)","Vit_E_(mg)","Vit_D_µg","Vit_D_IU","Vit_K_(µg)","FA_Sat_(g)","FA_Mono_(g)","FA_Poly_(g)","Cholestrl_(mg)","GmWt_1","GmWt_Desc1","GmWt_2","GmWt_Desc2","Refuse_Pct"
"1001","BUTTER,WITH SALT","15.87","717","0.85","81.11","2.11","0.06","0","0.06","24","0.02","2","24","24","643","0.09","0","0","1","0","0.005","0.034","0.042","0.11","0.003","3","0","3","3","18.8","0.17","2499","684","671","0","158","0","0","0","2.32","0","0","7","51.368","21.021","3.043","215","5","1 pat,  (1"" sq, 1/3"" high)","14.2","1 tbsp","0"
"1009","CHEESE,CHEDDAR","37.02","404","22.87","33.31","3.71","3.09","0","0.48","710","0.14","27","455","76","653","3.64","0.03","0.027","28.5","0","0.029","0.428","0.059","0.41","0.066","27","0","27","27","16.5","1.1","1242","330","330","0","85","0","0","0","0.71","0.6","24","2.4","18.867","9.246","1.421","99","132","1 cup, diced","244","1 cup, melted","0"
"1019","CHEESE,FETA","55.22","264","14.21","21.28","5.2","4.09","0","4.09","493","0.65","19","337","62","917","2.88","0.032","0.028","15","0","0.154","0.844","0.991","0.967","0.424","32","0","32","32","15.4","1.69","422","125","125","0","3","0","0","0","0.18","0.4","16","1.8","14.946","4.623","0.591","89","150","1 cup, crumbled","28.35","1 oz","0"
"1078","MILK,PRODUCER,FLUID,3.7% MILKFAT","87.69","64","3.28","3.66","0.72","4.65","0","","119","0.05","13","93","151","49","0.38","0.01","0.004","2","1.5","0.038","0.161","0.084","0.313","0.042","5","0","5","5","","0.36","138","33","31","","","","","","","","","","2.278","1.057","0.136","14","244","1 cup","976","1 quart","0"
"1079","MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED VIT A & VITAMIN D","89.21","50","3.3","1.98","0.71","4.8","0","5.06","120","0.02","11","92","140","47","0.48","0.006","0.014","2.5","0.2","0.039","0.185","0.092","0.356","0.038","5","0","5","5","16.4","0.53","190","55","55","0","4","0","0","0","0.03","1.2","49","0.2","1.257","0.56","0.073","8","244","1 cup","30.5","1 fl oz","0"
"1082","MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADDED VIT A & VITAMIN D","89.92","42","3.37","0.97","0.75","4.99","0","5.2","125","0.03","11","95","150","44","0.42","0.01","0.003","3.3","0","0.02","0.185","0.093","0.361","0.037","5","0","5","5","17.7","0.47","196","58","58","0","2","0","0","0","0.01","1.2","48","0.1","0.633","0.277","0.035","5","244","1 cup","30.5","1 fl oz","0"
"1091","MILK,DRY,NONFAT,REG,WO/ ADDED VIT A & VITAMIN D","3.16","362","36.16","0.77","7.93","51.98","0","51.98","1257","0.32","110","968","1794","535","4.08","0.041","0.02","27.3","6.8","0.415","1.55","0.951","3.568","0.361","50","0","50","50","169.2","4.03","22","6","6","0","1","0","0","0","0","0","0","0.1","0.499","0.201","0.03","20","30",".25 cup","120","1 cup","0"
"1110","MILK SHAKES,THICK CHOC","72.2","119","3.05","2.7","0.9","21.15","0.3","20.85","132","0.31","16","126","224","111","0.48","0.065","0.039","1.9","0","0.047","0.222","0.124","0.363","0.025","5","0","5","5","17","0.32","67","18","18","0","4","0","0","0","0.05","1","41","0.2","1.681","0.78","0.1","11","28.4","1 fl oz","300","1 container,  (10.6 oz)","0"
"1111","MILK SHAKES,THICK VANILLA","74.45","112","3.86","3.03","0.91","17.75","0","17.75","146","0.1","12","115","183","95","0.39","0.051","0.014","2.3","0","0.03","0.195","0.146","0.368","0.042","7","0","7","7","14.3","0.52","91","25","25","0","5","0","0","0","0.05","1.2","48","0.2","1.886","0.875","0.113","12","28.4","1 fl oz","313","1 container,  (11 oz)","0"
"1116","YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ","87.9","61","3.47","3.25","0.72","4.66","0","4.66","121","0.05","12","95","155","46","0.59","0.009","0.004","2.2","0.5","0.029","0.142","0.075","0.389","0.032","7","0","7","7","15.2","0.37","99","27","27","0","5","0","0","0","0.06","0.1","2","0.2","2.096","0.893","0.092","13","170","1 container,  (6 oz)","227","1 container,  (8 oz)","0"
"1119","YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ","79","85","4.93","1.25","1.02","13.8","0","13.8","171","0.07","16","135","219","66","0.83","0.013","0.004","4.9","0.8","0.042","0.201","0.107","0.552","0.045","11","0","11","11","15.2","0.53","43","12","12","0","2","0","0","0","0.02","0","1","0.1","0.806","0.343","0.036","5","170","1 container,  (6 oz)","227","1 container,  (8 oz)","0"
"1120","YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ","75.3","99","3.98","1.15","0.93","18.64","0","18.64","138","0.06","13","109","177","53","0.67","0.079","0.064","2.8","0.6","0.034","0.162","0.086","0.446","0.037","9","0","9","9","15.2","0.43","40","11","11","0","2","0","0","0","0.02","0","1","0.1","0.742","0.316","0.033","5","170","1 container,  (6 oz)","125","1 container,  (4.4 oz)","0"
"1128","EGG,WHL,CKD,FRIED","69.47","196","13.61","14.84","1.26","0.83","0","0.4","62","1.89","13","215","152","207","1.39","0.078","0.03","33.1","0","0.044","0.495","0.082","1.66","0.184","51","0","51","51","317.1","0.97","787","219","216","0","35","10","0","543","1.31","2.2","88","5.6","4.323","6.182","3.251","401","46","1 large","","","0"
"1129","EGG,WHL,CKD,HARD-BOILED","74.62","155","12.58","10.61","1.08","1.12","0","1.12","50","1.19","10","172","126","124","1.05","0.013","0.026","30.8","0","0.066","0.513","0.064","1.398","0.121","44","0","44","44","293.8","1.11","520","149","148","0","11","10","0","353","1.03","2.2","87","0.3","3.267","4.077","1.414","373","136","1 cup, chopped","8.5","1 tbsp","12"
